機種名,規格,廠商,站數,有庫存,最低價,最高價,價差,價差%,最便宜店家,ホームスロット 價格,ホームスロット 連結,A-SLOT 價格,A-SLOT 連結,イニシャルP (FC2) 價格,イニシャルP (FC2) 連結,行情排名,行情價,本週漲跌,上市週數,備註
デジハネCR北斗の拳慈母 ユリア 甘デジ,,Sammy,1,否,86000,86000,0,0.0,ホームスロット,86000,https://home-slot.net/SHOP/p-sammy43.html,,,,,,-,,,
デジハネCR聖戦士ダンバインSWDA,,Sammy,1,否,81600,81600,0,0.0,ホームスロット,81600,https://home-slot.net/SHOP/p-sammy81.html,,,,,,-,,,
デジハネP七つの大罪 エリザベスVer.,,Sammy,1,否,52600,52600,0,0.0,ホームスロット,52600,https://home-slot.net/SHOP/p-sammy216.html,,,,,,-,,,
デビルメイクライ4 アウトオブリミット,P,メーシー,1,否,52600,52600,0,0.0,ホームスロット,52600,https://home-slot.net/SHOP/p-macy206.html,,,,,,-,,,
ドラゴンハナハナ 30 BLACKパネル,,パイオニア,1,是,54500,54500,0,0.0,A-SLOT,,,54500,https://www.a-slot.com/SHOP/pioneer24.html,,,,-,,,
ニューアイムジャグラーEX KT パネル不問,,北電子,1,否,45100,45100,0,0.0,A-SLOT,,,45100,https://www.a-slot.com/SHOP/kitadenshi68_zzz.html,,,,-,,,
ニューキングハナハナ 30 ブラックパネル,,パイオニア,1,否,78500,78500,0,0.0,A-SLOT,,,78500,https://www.a-slot.com/SHOP/pioneer28_black.html,,,,-,,,
ハナハナホウオウ 30 プレミアムパネル,,パイオニア,1,是,60800,60800,0,0.0,A-SLOT,,,60800,https://www.a-slot.com/SHOP/pioneer31-premium.html,,,,-,,,
パワフルアドベンチャーZ6 メインパネル,,SANKYO,1,否,45100,45100,0,0.0,A-SLOT,,,45100,https://www.a-slot.com/SHOP/sankyo17.html,,,,-,,,
ビスティ アイドルマスター ミリオンライブ!,,,1,是,64100,64100,0,0.0,A-SLOT,,,64100,https://www.a-slot.com/SHOP/sankyo207.html,,,,-,,,
ビスティ ウルトラマンウォーズ 2ch対応,,,1,是,57800,57800,0,0.0,A-SLOT,,,57800,https://www.a-slot.com/SHOP/sankyo72.html,,,,-,,,
ビスティ エヴァンゲリヲン 勝利への願い,,,1,是,47800,47800,0,0.0,ホームスロット,47800,https://home-slot.net/SHOP/s-sankyo125.html,,,,,,-,,,
ビスティ エヴァンゲリヲン 魂を繋ぐもの,,,1,是,64100,64100,0,0.0,A-SLOT,,,64100,https://www.a-slot.com/SHOP/sankyo122.html,,,,-,,,
ビスティ フィーバー革命機ヴァルヴレイヴ3,P,,1,是,65300,65300,0,0.0,ホームスロット,65300,https://home-slot.net/SHOP/p-bisty232.html,,,,,,-,,,
ビスティ 宇宙戦艦ヤマト2202 超波動,P,,1,是,52600,52600,0,0.0,ホームスロット,52600,https://home-slot.net/SHOP/p-bisty236.html,,,,,,-,,,
ビーストサップ イラストパネル 2ch対応,4号機,エレコ,1,否,41400,41400,0,0.0,A-SLOT,,,41400,https://www.a-slot.com/SHOP/eleco_beastsapp.html,,,,-,,,
フィーバーアクエリオンW 気持ちいい~!ver.,P,SANKYO,1,否,65300,65300,0,0.0,ホームスロット,65300,https://home-slot.net/SHOP/p-sankyo225.html,,,,,,-,,,
フィーバー戦姫絶唱シンフォギア3黄金絶唱,P,SANKYO,1,否,78600,78600,0,0.0,ホームスロット,78600,https://home-slot.net/SHOP/p-sankyo260.html,,,,,,-,,,
マルホン CR大シャカRUSH7 KCL,,,1,否,65300,65300,0,0.0,ホームスロット,65300,https://home-slot.net/SHOP/p-maruhon33.html,,,,,,-,,,
交響詩篇エウレカセブン ANEMONE,P,Sammy,1,否,52600,52600,0,0.0,ホームスロット,52600,https://home-slot.net/SHOP/p-sammy241.html,,,,,,-,,,
